id,Cod IBGE,UF,Município,População Estimada - 2017
1,2700102,AL,ÁGUA BRANCA,20467
2,2700300,AL,ARAPIRACA,234185
3,2700706,AL,BATALHA,18757
4,2700904,AL,BELO MONTE,6797
5,2701209,AL,CACIMBINHAS,10897
6,2701605,AL,CANAPI,17983
7,2701803,AL,CARNEIROS,9155
8,2702009,AL,COITÉ DO NÓIA,10888
9,2702355,AL,CRAÍBAS,24510
10,2702405,AL,DELMIRO GOUVEIA,52597
11,2702504,AL,DOIS RIACHOS,11214
12,2702553,AL,ESTRELA DE ALAGOAS,18435
13,2702900,AL,GIRAU DO PONCIANO,41279
14,2703106,AL,IGACI,26022
15,2703304,AL,INHAPI,18652
16,2703403,AL,JACARÉ DOS HOMENS,5356
17,2703700,AL,JARAMATAIA,5676
18,2704104,AL,LAGOA DA CANOA,18175
19,2704401,AL,MAJOR ISIDORO,20200
20,2704609,AL,MARAVILHA,9418
21,2705002,AL,MATA GRANDE,25589
22,2705309,AL,MINADOR DO NEGRÃO,5413
23,2705408,AL,MONTEIRÓPOLIS,7260
24,2705705,AL,OLHO D'ÁGUA DAS FLORES,21767
25,2705804,AL,OLHO D'ÁGUA DO CASADO,9459
26,2706000,AL,OLIVENÇA,11772
27,2706109,AL,OURO BRANCO,11635
28,2706208,AL,PALESTINA,5066
29,2706307,AL,PALMEIRA DOS ÍNDIOS,74208
30,2706406,AL,PÃO DE AÇÚCAR,24792
31,2706422,AL,PARICONHA,10684
32,2707107,AL,PIRANHAS,25298
33,2707206,AL,POÇO DAS TRINCHEIRAS,14575
34,2707602,AL,QUEBRANGULO,11496
35,2708006,AL,SANTANA DO IPANEMA,48232
36,2708402,AL,SÃO JOSÉ DA TAPERA,32626
37,2708956,AL,SENADOR RUI PALMEIRA,14036
38,2709202,AL,TRAIPU,28070
39,2900108,BA,ABAÍRA,9199
40,2900207,BA,ABARÉ,20189
41,2900355,BA,ADUSTINA,17349
42,2900405,BA,ÁGUA FRIA,17508
43,2901007,BA,AMARGOSA,38259
44,2901155,BA,AMÉRICA DOURADA,16798
45,2901205,BA,ANAGÉ,19568
46,2901304,BA,ANDARAÍ,13737
47,2901353,BA,ANDORINHA,15490
48,2901403,BA,ANGICAL,14690
49,2901502,BA,ANGUERA,11481
50,2901601,BA,ANTAS,19569
51,2901700,BA,ANTÔNIO CARDOSO,12208
52,2901809,BA,ANTÔNIO GONÇALVES,12072
53,2902005,BA,ARACATU,13962
54,2902104,BA,ARACI,55935
55,2902500,BA,BAIANÓPOLIS,14323
56,2902609,BA,BAIXA GRANDE,21403
57,2902658,BA,BANZAÊ,13765
58,2902708,BA,BARRA,54915
59,2902807,BA,BARRA DA ESTIVA,22082
60,2902906,BA,BARRA DO CHOÇA,34121
61,2903003,BA,BARRA DO MENDES,14560
62,2903201,BA,BARREIRAS,157638
63,2903235,BA,BARRO ALTO,15217
64,2903276,BA,BARROCAS,16296
65,2903508,BA,BELO CAMPO,18247
66,2903607,BA,BIRITINGA,16653
67,2903706,BA,BOA NOVA,14069
68,2903805,BA,BOA VISTA DO TUPIM,19502
69,2903904,BA,BOM JESUS DA LAPA,70618
70,2903953,BA,BOM JESUS DA SERRA,10477
71,2904001,BA,BONINAL,14760
72,2904050,BA,BONITO,17131
73,2904100,BA,BOQUIRA,22464
74,2904209,BA,BOTUPORÃ,10898
75,2904308,BA,BREJÕES,15122
76,2904407,BA,BREJOLÂNDIA,10833
77,2904506,BA,BROTAS DE MACAÚBAS,10974
78,2904605,BA,BRUMADO,69677
79,2904753,BA,BURITIRAMA,21786
80,2904803,BA,CAATIBA,7841
81,2904852,BA,CABACEIRAS DO PARAGUAÇU,19312
82,2905008,BA,CACULÉ,23817
83,2905107,BA,CAÉM,10058
84,2905156,BA,CAETANOS,16106
85,2905206,BA,CAETITÉ,52853
86,2905305,BA,CAFARNAUM,19006
87,2905503,BA,CALDEIRÃO GRANDE,13713
88,2905909,BA,CAMPO ALEGRE DE LOURDES,30048
89,2906006,BA,CAMPO FORMOSO,73448
90,2906105,BA,CANÁPOLIS,10151
91,2906204,BA,CANARANA,26862
92,2906402,BA,CANDEAL,8837
93,2906600,BA,CANDIBA,14792
94,2906709,BA,CÂNDIDO SALES,26674
95,2906808,BA,CANSANÇÃO,36191
96,2906824,BA,CANUDOS,17316
97,2906857,BA,CAPELA DO ALTO ALEGRE,12199
98,2906873,BA,CAPIM GROSSO,31392
99,2906899,BA,CARAÍBAS,9773
100,2907103,BA,CARINHANHA,30118
101,2907202,BA,CASA NOVA,73382
102,2907301,BA,CASTRO ALVES,27238
103,2907558,BA,CATURAMA,9764
104,2907608,BA,CENTRAL,17969
105,2907707,BA,CHORROCHÓ,11591
106,2907806,BA,CÍCERO DANTAS,34676
107,2907905,BA,CIPÓ,17739
108,2908101,BA,COCOS,19498
109,2908408,BA,CONCEIÇÃO DO COITÉ,68303
110,2908705,BA,CONDEÚBA,18191
111,2908804,BA,CONTENDAS DO SINCORÁ,4299
112,2909000,BA,CORDEIROS,8904
113,2909109,BA,CORIBE,14933
114,2909208,BA,CORONEL JOÃO SÁ,16814(3)
115,2909406,BA,COTEGIPE,14414
116,2909505,BA,CRAVOLÂNDIA,5576
117,2909604,BA,CRISÓPOLIS,21835
118,2909703,BA,CRISTÓPOLIS,14403
119,2909901,BA,CURAÇÁ,35524
120,2910107,BA,DOM BASÍLIO,12604
121,2910305,BA,ELÍSIO MEDRADO,8461
122,2910404,BA,ENCRUZILHADA,19376
123,2900504,BA,ÉRICO CARDOSO,11212
124,2910701,BA,EUCLIDES DA CUNHA,61924
125,2910750,BA,FÁTIMA,18443
126,2910776,BA,FEIRA DA MATA,5922
127,2910800,BA,FEIRA DE SANTANA,627477
128,2910859,BA,FILADÉLFIA,17176
129,2911105,BA,FORMOSA DO RIO PRETO,25912
130,2911253,BA,GAVIÃO,4725
131,2911303,BA,GENTIO DO OURO,11639
132,2911402,BA,GLÓRIA,15840
133,2911659,BA,GUAJERU,8081
134,2911709,BA,GUANAMBI,86808
135,2911857,BA,HELIÓPOLIS,13718
136,2911907,BA,IAÇU,25884
137,2912004,BA,IBIASSUCÊ,10183
138,2912202,BA,IBICOARA,19786
139,2912400,BA,IBIPEBA,18678
140,2912509,BA,IBIPITANGA,15413
141,2912608,BA,IBIQUERA,4214
142,2913002,BA,IBITIARA,16855
143,2913101,BA,IBITITÁ,17948
144,2913200,BA,IBOTIRAMA,27862
145,2913309,BA,ICHU,6437
146,2913408,BA,IGAPORÃ,16283
147,2913507,BA,IGUAÍ,27939
148,2913705,BA,INHAMBUPE,40453
149,2913804,BA,IPECAETÁ,15499
150,2914000,BA,IPIRÁ,62631
151,2914109,BA,IPUPIARA,10157
152,2914208,BA,IRAJUBA,7521
153,2914307,BA,IRAMAIA,9901
154,2914406,BA,IRAQUARA,25536
155,2914604,BA,IRECÊ,74483
156,2914703,BA,ITABERABA,66806
157,2915007,BA,ITAETÉ,16586
158,2915106,BA,ITAGI,13199
159,2915353,BA,ITAGUAÇU DA BAHIA,14718
160,2915809,BA,ITAMBÉ,24901
161,2916401,BA,ITAPETINGA,77533
162,2916500,BA,ITAPICURU,36211
163,2916708,BA,ITAQUARA,8592
164,2916807,BA,ITARANTIM,20314
165,2916856,BA,ITATIM,14957
166,2916906,BA,ITIRUÇU,13254
167,2917003,BA,ITIÚBA,37567
168,2917102,BA,ITORORÓ,21241
169,2917201,BA,ITUAÇU,19577
170,2917334,BA,IUIU,11399
171,2917409,BA,JACARACI,15459
172,2917508,BA,JACOBINA,83635
173,2917607,BA,JAGUAQUARA,56033
174,2917706,BA,JAGUARARI,34499
175,2918001,BA,JEQUIÉ,162209
176,2918100,BA,JEREMOABO,41605
177,2918357,BA,JOÃO DOURADO,25646
178,2918407,BA,JUAZEIRO,221773
179,2918506,BA,JUSSARA,16006
180,2918605,BA,JUSSIAPE,7066
181,2918704,BA,LAFAIETE COUTINHO,3975
182,2918753,BA,LAGOA REAL,16029
183,2919009,BA,LAJEDINHO,4017
184,2919058,BA,LAJEDO DO TABOCAL,8886
185,2919108,BA,LAMARÃO,9007
186,2919157,BA,LAPÃO,28244
187,2919306,BA,LENÇÓIS,11636
188,2919405,BA,LICÍNIO DE ALMEIDA,12969
189,2919504,BA,LIVRAMENTO DE NOSSA SENHORA,46739
190,2919603,BA,MACAJUBA,11879
191,2919702,BA,MACARANI,19110
192,2919801,BA,MACAÚBAS,50987
193,2919900,BA,MACURURÉ,8266
194,2919959,BA,MAETINGA,4456
195,2920007,BA,MAIQUINIQUE,10274
196,2920106,BA,MAIRI,19695
197,2920205,BA,MALHADA,17526
198,2920304,BA,MALHADA DE PEDRAS,8856
199,2920403,BA,MANOEL VITORINO,14251
200,2920452,BA,MANSIDÃO,13959
201,2920502,BA,MARACÁS,23018
202,2920809,BA,MARCIONÍLIO SOUZA,10931
203,2921054,BA,MATINA,12488
204,2921203,BA,MIGUEL CALMON,27520
205,2921302,BA,MILAGRES,11585
206,2921401,BA,MIRANGABA,18729
207,2921450,BA,MIRANTE,9578
208,2921500,BA,MONTE SANTO,51953
209,2921609,BA,MORPARÁ,8950
210,2921708,BA,MORRO DO CHAPÉU,36856
211,2921807,BA,MORTUGABA,12529
212,2921906,BA,MUCUGÊ,9957
213,2922052,BA,MULUNGU DO MORRO,11988
214,2922102,BA,MUNDO NOVO,27364
215,2922250,BA,MUQUÉM DO SÃO FRANCISCO,11644
216,2922656,BA,NORDESTINA,13597
217,2922706,BA,NOVA CANAÃ,17141
218,2922730,BA,NOVA FÁTIMA,8119
219,2922805,BA,NOVA ITARANA,8428
220,2922854,BA,NOVA REDENÇÃO,9500
221,2922904,BA,NOVA SOURE,25460
222,2923035,BA,NOVO HORIZONTE,12514
223,2923050,BA,NOVO TRIUNFO,16037
224,2923100,BA,OLINDINA,29227
225,2923209,BA,OLIVEIRA DOS BREJINHOS,22805
226,2923357,BA,OUROLÂNDIA,18025
227,2923407,BA,PALMAS DE MONTE ALTO,22553
228,2923506,BA,PALMEIRAS,9250
229,2923605,BA,PARAMIRIM,22286
230,2923704,BA,PARATINGA,32967
231,2923803,BA,PARIPIRANGA,30075
232,2924009,BA,PAULO AFONSO,120706
233,2924058,BA,PÉ DE SERRA,14226
234,2924207,BA,PEDRO ALEXANDRE,18209
235,2924306,BA,PIATÃ,18267
236,2924405,BA,PILÃO ARCADO,35740
237,2924504,BA,PINDAÍ,16889
238,2924603,BA,PINDOBAÇU,21171
239,2924652,BA,PINTADAS,11012
240,2924702,BA,PIRIPÁ,11849
241,2924801,BA,PIRITIBA,25211
242,2924900,BA,PLANALTINO,9582
243,2925006,BA,PLANALTO,26915
244,2925105,BA,POÇÕES,48861
245,2925253,BA,PONTO NOVO,15830
246,2925402,BA,POTIRAGUÁ,8438
247,2925600,BA,PRESIDENTE DUTRA,15734
248,2925709,BA,PRESIDENTE JÂNIO QUADROS,13334
249,2925808,BA,QUEIMADAS,26552
250,2925907,BA,QUIJINGUE,28632
251,2925931,BA,QUIXABEIRA,9411
252,2925956,BA,RAFAEL JAMBEIRO,23562
253,2926004,BA,REMANSO,42672
254,2926103,BA,RETIROLÂNDIA,14730
255,2926202,BA,RIACHÃO DAS NEVES,23313
256,2926301,BA,RIACHÃO DO JACUÍPE,34784
257,2926400,BA,RIACHO DE SANTANA,36439
258,2926509,BA,RIBEIRA DO AMPARO,15443
259,2926608,BA,RIBEIRA DO POMBAL,54965
260,2926657,BA,RIBEIRÃO DO LARGO,7437
261,2926707,BA,RIO DE CONTAS,13712
262,2926806,BA,RIO DO ANTÔNIO,15804
263,2926905,BA,RIO DO PIRES,12130
264,2927101,BA,RODELAS,9405
265,2927200,BA,RUY BARBOSA,32009
266,2927507,BA,SANTA BÁRBARA,21415
267,2927606,BA,SANTA BRÍGIDA,14976
268,2927903,BA,SANTA INÊS,11161
269,2928109,BA,SANTA MARIA DA VITÓRIA,41769
270,2928406,BA,SANTA RITA DE CÁSSIA,29146
271,2928505,BA,SANTA TEREZINHA,10682
272,2928000,BA,SANTALUZ,38422
273,2928208,BA,SANTANA,27492
274,2928307,BA,SANTANÓPOLIS,9263
275,2928802,BA,SANTO ESTÊVÃO,53898
276,2928950,BA,SÃO DOMINGOS,9404
277,2929057,BA,SÃO FÉLIX DO CORIBE,15825
278,2929255,BA,SÃO GABRIEL,19613
279,2929370,BA,SÃO JOSÉ DO JACUÍPE,10784
280,2929701,BA,SÁTIRO DIAS,20429
281,2929800,BA,SAÚDE,13385
282,2929909,BA,SEABRA,45568
283,2930006,BA,SEBASTIÃO LARANJEIRAS,11696
284,2930105,BA,SENHOR DO BONFIM,81218
285,2930204,BA,SENTO SÉ,41891
286,2930154,BA,SERRA DO RAMALHO,32991
287,2930303,BA,SERRA DOURADA,18320
288,2930402,BA,SERRA PRETA,16036
289,2930501,BA,SERRINHA,83088
290,2930600,BA,SERROLÂNDIA,13832
291,2930758,BA,SÍTIO DO MATO,13437
292,2930766,BA,SÍTIO DO QUINTO,11283
293,2930774,BA,SOBRADINHO,23713
294,2930808,BA,SOUTO SOARES,17503
295,2930907,BA,TABOCAS DO BREJO VELHO,13057
296,2931004,BA,TANHAÇU,21315
297,2931053,BA,TANQUE NOVO,17884
298,2931103,BA,TANQUINHO,8232
299,2931301,BA,TAPIRAMUTÁ,17845
300,2931509,BA,TEOFILÂNDIA,23378
301,2931806,BA,TREMEDAL,17700
302,2931905,BA,TUCANO,52540
303,2932002,BA,UAUÁ,25773
304,2932101,BA,UBAÍRA,20800
305,2932408,BA,UIBAÍ,14474
306,2932457,BA,UMBURANAS,19522
307,2932606,BA,URANDI,17356
308,2932804,BA,UTINGA,19780
309,2933000,BA,VALENTE,28743
310,2933059,BA,VÁRZEA DA ROÇA,14662
311,2933109,BA,VÁRZEA DO POÇO,9449
312,2933158,BA,VÁRZEA NOVA,13454
313,2933307,BA,VITÓRIA DA CONQUISTA,348718
314,2933406,BA,WAGNER,9753
315,2933455,BA,WANDERLEY,12935
316,2933604,BA,XIQUE-XIQUE,48365
317,2300101,CE,ABAIARA,11605
318,2300150,CE,ACARAPE,16543
319,2300200,CE,ACARAÚ,62199
320,2300309,CE,ACOPIARA,53572
321,2300408,CE,AIUABA,17194
322,2300507,CE,ALCÂNTARAS,11459
323,2300606,CE,ALTANEIRA,7479
324,2300705,CE,ALTO SANTO,16976
325,2300754,CE,AMONTADA,42901
326,2300804,CE,ANTONINA DO NORTE,7278
327,2300903,CE,APUIARÉS,14719
328,2301109,CE,ARACATI,73629
329,2301208,CE,ARACOIABA,26269
330,2301257,CE,ARARENDÁ,10823
331,2301307,CE,ARARIPE,21398
332,2301406,CE,ARATUBA,11244
333,2301505,CE,ARNEIROZ,7777
334,2301604,CE,ASSARÉ,23254
335,2301703,CE,AURORA,24496
336,2301802,CE,BAIXIO,6228
337,2301851,CE,BANABUIÚ,18027
338,2301901,CE,BARBALHA,59811
339,2301950,CE,BARREIRA,20978
340,2302008,CE,BARRO,22440
341,2302057,CE,BARROQUINHA,14880
342,2302107,CE,BATURITÉ,35351
343,2302206,CE,BEBERIBE,53110
344,2302305,CE,BELA CRUZ,32378
345,2302404,CE,BOA VIAGEM,54049
346,2302503,CE,BREJO SANTO,48830
347,2302602,CE,CAMOCIM,62985
348,2302701,CE,CAMPOS SALES,27209
349,2302800,CE,CANINDÉ,77514
350,2302909,CE,CAPISTRANO,17668
351,2303006,CE,CARIDADE,22320
352,2303105,CE,CARIRÉ,18660
353,2303204,CE,CARIRIAÇU,26892
354,2303303,CE,CARIÚS,18804
355,2303402,CE,CARNAUBAL,17631
356,2303501,CE,CASCAVEL,71079
357,2303600,CE,CATARINA,20451
358,2303659,CE,CATUNDA,10365
359,2303709,CE,CAUCAIA,362223
360,2303808,CE,CEDRO,25063
361,2303907,CE,CHAVAL,12952
362,2303931,CE,CHORÓ,13384
363,2303956,CE,CHOROZINHO,19197
364,2304004,CE,COREAÚ,23107
365,2304103,CE,CRATEÚS,74426
366,2304202,CE,CRATO,130604
367,2304236,CE,CROATÁ,17874
368,2304251,CE,CRUZ,23983
369,2304269,CE,DEPUTADO IRAPUAN PINHEIRO,9521
370,2304277,CE,ERERÊ,7163
371,2304301,CE,FARIAS BRITO,18720
372,2304350,CE,FORQUILHA,24047
373,2304459,CE,FORTIM,16272
374,2304509,CE,FRECHEIRINHA,13669
375,2304608,CE,GENERAL SAMPAIO,6922
376,2304657,CE,GRAÇA,15307
377,2304707,CE,GRANJA,54365
378,2304806,CE,GRANJEIRO,4425
379,2304905,CE,GROAÍRAS,11012
380,2304954,CE,GUAIÚBA,26331
381,2305001,CE,GUARACIABA DO NORTE,39445
382,2305100,CE,GUARAMIRANGA,3547
383,2305209,CE,HIDROLÂNDIA,20215
384,2305233,CE,HORIZONTE,65928
385,2305266,CE,IBARETAMA,13218
386,2305308,CE,IBIAPINA,24825
387,2305332,CE,IBICUITINGA,12350
388,2305357,CE,ICAPUÍ,19685
389,2305407,CE,ICÓ,67486
390,2305506,CE,IGUATU,102614
391,2305605,CE,INDEPENDÊNCIA,25967
392,2305654,CE,IPAPORANGA,11499
393,2305704,CE,IPAUMIRIM,12349
394,2305803,CE,IPU,41576
395,2305902,CE,IPUEIRAS,37896
396,2306009,CE,IRACEMA,14125
397,2306108,CE,IRAUÇUBA,23858
398,2306207,CE,ITAIÇABA,7738
399,2306306,CE,ITAPAJÉ,51945
400,2306405,CE,ITAPIPOCA,127465
401,2306504,CE,ITAPIÚNA,20014
402,2306553,CE,ITAREMA,41230
403,2306603,CE,ITATIRA,20675
404,2306702,CE,JAGUARETAMA,17958
405,2306801,CE,JAGUARIBARA,11295
406,2306900,CE,JAGUARIBE,34448
407,2307007,CE,JAGUARUANA,33740
408,2307106,CE,JARDIM,27076
409,2307205,CE,JATI,7847
410,2307254,CE,JIJOCA DE JERICOACOARA,19510
411,2307304,CE,JUAZEIRO DO NORTE,270383
412,2307403,CE,JUCÁS,24597
413,2307502,CE,LAVRAS DA MANGABEIRA,31335
414,2307601,CE,LIMOEIRO DO NORTE,58915
415,2307635,CE,MADALENA,19800
416,2307700,CE,MARANGUAPE,126486
417,2307809,CE,MARCO,26981
418,2307908,CE,MARTINÓPOLE,11082
419,2308005,CE,MASSAPÊ,38210
420,2308104,CE,MAURITI,46548
421,2308203,CE,MERUOCA,14948
422,2308302,CE,MILAGRES,28231
423,2308351,CE,MILHÃ,13136
424,2308377,CE,MIRAÍMA,13583
425,2308401,CE,MISSÃO VELHA,35409
426,2308500,CE,MOMBAÇA,43735
427,2308609,CE,MONSENHOR TABOSA,17038
428,2308708,CE,MORADA NOVA,61548
429,2308807,CE,MORAÚJO,8636
430,2308906,CE,MORRINHOS,22222
431,2309003,CE,MUCAMBO,14377
432,2309102,CE,MULUNGU,12831
433,2309201,CE,NOVA OLINDA,15433
434,2309300,CE,NOVA RUSSAS,32035
435,2309409,CE,NOVO ORIENTE,28353
436,2309458,CE,OCARA,25394
