Região,UF - Sigla,Unidade da Federação,Arroz Inundado,Café,Cana-de-Açúcar Irrigada,"Outras Culturas em Pivôs Centrais (exceto arroz, café e cana)","Pivôs Centrais - Total (considerando sobreposição com arroz, café e cana)",Outras culturas e sistemas,Área Total Irrigada,Cana-de-Açúcar Fertirrigada,Área Total (Irrigada e Fertirrigada),AAI com água superficial em agricultura de sequeiro,AAI com água superficial em pastagem,AAI com água subterrânea,AAI - Potencial Total,AAI - Potencial Efetivo
Norte,RO,Rondônia,0,"43,238",0,533,533,"27,067","70,838",0,"70,838","158,572","2,239,966","98,818","2,497,356",226
Norte,AC,Acre,0,0,0,0,0,"1,339","1,339",0,"1,339",0,"691,268",0,"691,268",0
Norte,AM,Amazonas,0,0,0,0,0,"7,106","7,106",0,"7,106","6,888","1,419,720","7,080","1,433,687",0
Norte,RR,Roraima,"12,917",0,0,"2,184","2,184","11,908","27,009",0,"27,009","14,148","207,439","2,265","223,852",0
Norte,PA,Pará,"5,600",0,0,641,641,"48,609","54,850",0,"54,850","230,040","4,266,673","181,186","4,677,899","84,054"
Norte,AP,Amapá,0,0,0,0,0,"5,357","5,357",0,"5,357","25,878","69,702","3,776","99,356",0
Norte,TO,Tocantins,"109,163",0,"17,775","10,862","14,107","17,605","155,404",0,"155,404","361,482","1,247,675","54,197","1,663,354","209,895"
Nordeste,MA,Maranhão,"1,600",0,"46,096","5,766","5,766","16,426","69,889",0,"69,889","196,728","944,334","22,560","1,163,622","71,577"
Nordeste,PI,Piauí,"4,700",0,"20,444","2,234","2,234","23,215","50,593",0,"50,593","97,215","51,950","26,948","176,113","18,630"
Nordeste,CE,Ceará,800,0,0,"8,008","8,008","63,003","71,810",0,"71,810","77,647","91,981","1,345","170,974","24,590"
Nordeste,RN,Rio Grande do Norte,900,0,"12,647","2,158","3,013","31,312","47,017",0,"47,017","31,585","12,979","1,941","46,505","3,341"
Nordeste,PB,Paraíba,0,0,"45,139","1,362","2,125","6,090","52,591",0,"52,591","12,878","23,194",297,"36,369","4,451"
Nordeste,PE,Pernambuco,500,0,"72,207",560,560,"82,592","155,858",0,"155,858","31,546","63,448",334,"95,327","9,201"
Nordeste,AL,Alagoas,"3,136",0,"174,370",791,"1,530","1,719","180,016",0,"180,016","22,464","21,078","2,387","45,929","17,760"
Nordeste,SE,Sergipe,"7,089",0,"33,363",205,398,"17,415","58,072",0,"58,072","9,176","15,987",459,"25,622",969
Nordeste,BA,Bahia,0,"45,754","32,770","202,488","215,476","210,936","491,948","3,242","495,190","632,807","878,644","48,618","1,560,069","128,592"
Sudeste,MG,Minas Gerais,900,"134,183","139,558","415,804","478,619","256,282","946,727","197,700","1,144,428","3,406,952","3,241,218","385,174","7,033,344","1,180,524"
Sudeste,ES,Espírito Santo,0,"207,741","1,477","12,832","14,856","24,101","246,152","14,461","260,613","328,636","39,648","20,234","388,518","88,069"
Sudeste,RJ,Rio de Janeiro,0,263,0,89,89,"26,499","26,851","12,054","38,905","326,045","264,836","27,372","618,253","25,503"
Sudeste,SP,São Paulo,"7,100","8,782","2,168","211,074","216,524","204,142","433,267","1,985,031","2,418,298","4,088,447","569,824","239,236","4,897,507","1,299,216"
Sul,PR,Paraná,"19,698",143,34,"13,279","13,279","33,264","66,418","189,067","255,485","3,587,194","275,333","219,260","4,081,787","2,030,441"
Sul,SC,Santa Catarina,"149,619",0,0,594,594,"34,293","184,506",0,"184,506","1,214,932","222,980","68,760","1,506,673","366,243"
Sul,RS,Rio Grande do Sul,"946,416",0,0,"133,865","133,865","48,406","1,128,687",0,"1,128,687","2,904,006","41,958","64,957","3,010,921","1,896,303"
Centro-Oeste,MS,Mato Grosso do Sul,"10,887",0,"10,505","29,070","29,462","9,680","60,142","205,171","265,313","1,669,784","2,866,965","188,588","4,725,337","848,046"
Centro-Oeste,MT,Mato Grosso,"6,400","1,025","4,363","125,328","125,449","83,292","220,408","72,539","292,947","5,241,426","4,540,914","579,359","10,361,699","3,934,457"
Centro-Oeste,GO,Goiás,"16,582","7,860","134,373","250,539","271,911","35,906","445,261","224,651","669,912","1,987,706","2,396,858","182,675","4,567,239","1,414,748"
Centro-Oeste,DF,Distrito Federal,0,293,0,"14,843","14,981","18,222","33,358",0,"33,358","30,182","19,459","3,004","52,646","29,808"
BRASIL,,,"1,304,007","449,283","747,290","1,445,111","1,556,205","1,345,784","5,291,476","2,903,915","8,195,391","26,694,367","26,726,030","2,430,829","55,851,225","13,686,645"